form_key,form_name,form_version,runtime_path,xml_path,label,field_class,canonical_question_id,source_question_id,mapping_status,role,dimensions,component_ids,json_type,type_source,type,xsd_source,xsd_sha256,source_version,published_coverage_eligible
RRBudget,[Draft] Research & Related Budget,3.0,budget_year[].other_direct_costs.other_direct_cost_1.description,RR_Budget_3_0.BudgetYear.OtherDirectCosts.OtherDirectCost1.Description,Additional Other Direct Cost Description,question,concept:budget:line:description,question:sha256:88b6fac7675ce711681c2ba65fe7a506908f1135621abfc411e4d3848039c0ae,agent_proposed,,,,string,,,https://apply07.grants.gov/apply/forms/schemas/RR_Budget_3_0-V3.0.xsd,d474010f85819549990de65fc51292bed08ba98ac0895d0dde9513fbe855cdbc,,false
RRBudget,[Draft] Research & Related Budget,3.0,budget_year[].other_direct_costs.other_direct_cost_10.description,RR_Budget_3_0.BudgetYear.OtherDirectCosts.OtherDirectCost10.Description,Additional Other Direct Cost Description,question,concept:budget:line:description,question:sha256:684ecbc50eacf7755b801a73cf49a1be965349ed8d26241be541f154eabbab95,agent_proposed,,,,string,,,https://apply07.grants.gov/apply/forms/schemas/RR_Budget_3_0-V3.0.xsd,d474010f85819549990de65fc51292bed08ba98ac0895d0dde9513fbe855cdbc,,false
RRBudget,[Draft] Research & Related Budget,3.0,budget_year[].other_direct_costs.other_direct_cost_2.description,RR_Budget_3_0.BudgetYear.OtherDirectCosts.OtherDirectCost2.Description,Additional Other Direct Cost Description,question,concept:budget:line:description,question:sha256:4382f9c3e8b507b2d6a13de1d1592eac96d0b347939b8118bcd88bd333a525e0,agent_proposed,,,,string,,,https://apply07.grants.gov/apply/forms/schemas/RR_Budget_3_0-V3.0.xsd,d474010f85819549990de65fc51292bed08ba98ac0895d0dde9513fbe855cdbc,,false
RRBudget,[Draft] Research & Related Budget,3.0,budget_year[].other_direct_costs.other_direct_cost_3.description,RR_Budget_3_0.BudgetYear.OtherDirectCosts.OtherDirectCost3.Description,Additional Other Direct Cost Description,question,concept:budget:line:description,question:sha256:51f4dbe3e433ecc9fa1caba5981a0d367179b65f9876baeb7e8f4de6e76f140c,agent_proposed,,,,string,,,https://apply07.grants.gov/apply/forms/schemas/RR_Budget_3_0-V3.0.xsd,d474010f85819549990de65fc51292bed08ba98ac0895d0dde9513fbe855cdbc,,false
RRBudget,[Draft] Research & Related Budget,3.0,budget_year[].other_direct_costs.other_direct_cost_4.description,RR_Budget_3_0.BudgetYear.OtherDirectCosts.OtherDirectCost4.Description,Additional Other Direct Cost Description,question,concept:budget:line:description,question:sha256:b9afc7898963e9bb3fb5e29c46b465643a6a5fc789eae8138c3ee54439665ada,agent_proposed,,,,string,,,https://apply07.grants.gov/apply/forms/schemas/RR_Budget_3_0-V3.0.xsd,d474010f85819549990de65fc51292bed08ba98ac0895d0dde9513fbe855cdbc,,false
RRBudget,[Draft] Research & Related Budget,3.0,budget_year[].other_direct_costs.other_direct_cost_5.description,RR_Budget_3_0.BudgetYear.OtherDirectCosts.OtherDirectCost5.Description,Additional Other Direct Cost Description,question,concept:budget:line:description,question:sha256:2297cc9e3011434412be38891be7ea762da6248ca26760240553abfe81ccd797,agent_proposed,,,,string,,,https://apply07.grants.gov/apply/forms/schemas/RR_Budget_3_0-V3.0.xsd,d474010f85819549990de65fc51292bed08ba98ac0895d0dde9513fbe855cdbc,,false
RRBudget,[Draft] Research & Related Budget,3.0,budget_year[].other_direct_costs.other_direct_cost_6.description,RR_Budget_3_0.BudgetYear.OtherDirectCosts.OtherDirectCost6.Description,Additional Other Direct Cost Description,question,concept:budget:line:description,question:sha256:884940ae9c4f2bcc7d45630ff4afc1b051e93c59272a347ec8294749ee48b616,agent_proposed,,,,string,,,https://apply07.grants.gov/apply/forms/schemas/RR_Budget_3_0-V3.0.xsd,d474010f85819549990de65fc51292bed08ba98ac0895d0dde9513fbe855cdbc,,false
RRBudget,[Draft] Research & Related Budget,3.0,budget_year[].other_direct_costs.other_direct_cost_7.description,RR_Budget_3_0.BudgetYear.OtherDirectCosts.OtherDirectCost7.Description,Additional Other Direct Cost Description,question,concept:budget:line:description,question:sha256:b7c603796637afacfff68b8224f834abab9295dfbfcf1f148c1e1459e3a19681,agent_proposed,,,,string,,,https://apply07.grants.gov/apply/forms/schemas/RR_Budget_3_0-V3.0.xsd,d474010f85819549990de65fc51292bed08ba98ac0895d0dde9513fbe855cdbc,,false
RRBudget,[Draft] Research & Related Budget,3.0,budget_year[].other_direct_costs.other_direct_cost_8.description,RR_Budget_3_0.BudgetYear.OtherDirectCosts.OtherDirectCost8.Description,Additional Other Direct Cost Description,question,concept:budget:line:description,question:sha256:f5be98c50f0ee51a89a7ad4f93de22b1391a904b60caf67a8389556eb3d8b640,agent_proposed,,,,string,,,https://apply07.grants.gov/apply/forms/schemas/RR_Budget_3_0-V3.0.xsd,d474010f85819549990de65fc51292bed08ba98ac0895d0dde9513fbe855cdbc,,false
RRBudget,[Draft] Research & Related Budget,3.0,budget_year[].other_direct_costs.other_direct_cost_9.description,RR_Budget_3_0.BudgetYear.OtherDirectCosts.OtherDirectCost9.Description,Additional Other Direct Cost Description,question,concept:budget:line:description,question:sha256:46fe9d458dfef5c1033d613a8a3e9764f1e7e1454992bc43f81250843c059ebd,agent_proposed,,,,string,,,https://apply07.grants.gov/apply/forms/schemas/RR_Budget_3_0-V3.0.xsd,d474010f85819549990de65fc51292bed08ba98ac0895d0dde9513fbe855cdbc,,false
