semantic_identity,question_id,role,proposed_form_count,accepted_form_count,published_form_count
question:budget:budgetyear-indirectcosts-indirectcost-base::role:subaward_applicant_budget,question:budget:budgetyear-indirectcosts-indirectcost-base,subaward_applicant_budget,1,0,0
question:budget:budgetyear-indirectcosts-indirectcost-costtype::role:applicant_budget,question:budget:budgetyear-indirectcosts-indirectcost-costtype,applicant_budget,2,0,0
question:budget:budgetyear-indirectcosts-indirectcost-costtype::role:multi_project_applicant_budget,question:budget:budgetyear-indirectcosts-indirectcost-costtype,multi_project_applicant_budget,1,0,0
question:budget:budgetyear-indirectcosts-indirectcost-costtype::role:subaward_applicant_budget,question:budget:budgetyear-indirectcosts-indirectcost-costtype,subaward_applicant_budget,1,0,0
question:budget:budgetyear-indirectcosts-indirectcost-fundrequested::role:applicant_budget,question:budget:budgetyear-indirectcosts-indirectcost-fundrequested,applicant_budget,2,0,0
question:budget:budgetyear-indirectcosts-indirectcost-fundrequested::role:multi_project_applicant_budget,question:budget:budgetyear-indirectcosts-indirectcost-fundrequested,multi_project_applicant_budget,1,0,0
question:budget:budgetyear-indirectcosts-indirectcost-fundrequested::role:subaward_applicant_budget,question:budget:budgetyear-indirectcosts-indirectcost-fundrequested,subaward_applicant_budget,1,0,0
question:budget:budgetyear-indirectcosts-indirectcost-rate::role:applicant_budget,question:budget:budgetyear-indirectcosts-indirectcost-rate,applicant_budget,2,0,0
question:budget:budgetyear-indirectcosts-indirectcost-rate::role:multi_project_applicant_budget,question:budget:budgetyear-indirectcosts-indirectcost-rate,multi_project_applicant_budget,1,0,0
question:budget:budgetyear-indirectcosts-indirectcost-rate::role:subaward_applicant_budget,question:budget:budgetyear-indirectcosts-indirectcost-rate,subaward_applicant_budget,1,0,0
question:budget:budgetyear-keypersons-attachedkeypersons::role:applicant_budget,question:budget:budgetyear-keypersons-attachedkeypersons,applicant_budget,2,0,0
question:budget:budgetyear-keypersons-attachedkeypersons::role:multi_project_applicant_budget,question:budget:budgetyear-keypersons-attachedkeypersons,multi_project_applicant_budget,1,0,0
question:budget:budgetyear-keypersons-attachedkeypersons::role:subaward_applicant_budget,question:budget:budgetyear-keypersons-attachedkeypersons,subaward_applicant_budget,1,0,0
question:budget:budgetyear-keypersons-keyperson-academicmonths::role:key_person,question:budget:budgetyear-keypersons-keyperson-academicmonths,key_person,2,0,0
question:budget:budgetyear-keypersons-keyperson-academicmonths::role:multi_project_key_person,question:budget:budgetyear-keypersons-keyperson-academicmonths,multi_project_key_person,1,0,0
question:budget:budgetyear-keypersons-keyperson-academicmonths::role:subaward_key_person,question:budget:budgetyear-keypersons-keyperson-academicmonths,subaward_key_person,1,0,0
question:budget:budgetyear-keypersons-keyperson-basesalary::role:key_person,question:budget:budgetyear-keypersons-keyperson-basesalary,key_person,2,0,0
question:budget:budgetyear-keypersons-keyperson-basesalary::role:multi_project_key_person,question:budget:budgetyear-keypersons-keyperson-basesalary,multi_project_key_person,1,0,0
question:budget:budgetyear-keypersons-keyperson-basesalary::role:subaward_key_person,question:budget:budgetyear-keypersons-keyperson-basesalary,subaward_key_person,1,0,0
question:budget:budgetyear-keypersons-keyperson-calendarmonths::role:key_person,question:budget:budgetyear-keypersons-keyperson-calendarmonths,key_person,2,0,0
question:budget:budgetyear-keypersons-keyperson-calendarmonths::role:multi_project_key_person,question:budget:budgetyear-keypersons-keyperson-calendarmonths,multi_project_key_person,1,0,0
question:budget:budgetyear-keypersons-keyperson-calendarmonths::role:subaward_key_person,question:budget:budgetyear-keypersons-keyperson-calendarmonths,subaward_key_person,1,0,0
question:budget:budgetyear-keypersons-keyperson-fringebenefits::role:key_person,question:budget:budgetyear-keypersons-keyperson-fringebenefits,key_person,2,0,0
question:budget:budgetyear-keypersons-keyperson-fringebenefits::role:multi_project_key_person,question:budget:budgetyear-keypersons-keyperson-fringebenefits,multi_project_key_person,1,0,0
question:budget:budgetyear-keypersons-keyperson-fringebenefits::role:subaward_key_person,question:budget:budgetyear-keypersons-keyperson-fringebenefits,subaward_key_person,1,0,0
question:budget:budgetyear-keypersons-keyperson-projectrole::role:key_person,question:budget:budgetyear-keypersons-keyperson-projectrole,key_person,2,0,0
question:budget:budgetyear-keypersons-keyperson-projectrole::role:multi_project_key_person,question:budget:budgetyear-keypersons-keyperson-projectrole,multi_project_key_person,1,0,0
question:budget:budgetyear-keypersons-keyperson-projectrole::role:subaward_key_person,question:budget:budgetyear-keypersons-keyperson-projectrole,subaward_key_person,1,0,0
question:budget:budgetyear-keypersons-keyperson-requestedsalary::role:key_person,question:budget:budgetyear-keypersons-keyperson-requestedsalary,key_person,2,0,0
question:budget:budgetyear-keypersons-keyperson-requestedsalary::role:multi_project_key_person,question:budget:budgetyear-keypersons-keyperson-requestedsalary,multi_project_key_person,1,0,0
question:budget:budgetyear-keypersons-keyperson-requestedsalary::role:subaward_key_person,question:budget:budgetyear-keypersons-keyperson-requestedsalary,subaward_key_person,1,0,0
question:budget:budgetyear-keypersons-keyperson-summermonths::role:key_person,question:budget:budgetyear-keypersons-keyperson-summermonths,key_person,2,0,0
question:budget:budgetyear-keypersons-keyperson-summermonths::role:multi_project_key_person,question:budget:budgetyear-keypersons-keyperson-summermonths,multi_project_key_person,1,0,0
question:budget:budgetyear-keypersons-keyperson-summermonths::role:subaward_key_person,question:budget:budgetyear-keypersons-keyperson-summermonths,subaward_key_person,1,0,0
question:budget:budgetyear-keypersons-totalfundforattachedkeypersons::role:applicant_budget,question:budget:budgetyear-keypersons-totalfundforattachedkeypersons,applicant_budget,2,0,0
question:budget:budgetyear-keypersons-totalfundforattachedkeypersons::role:multi_project_applicant_budget,question:budget:budgetyear-keypersons-totalfundforattachedkeypersons,multi_project_applicant_budget,1,0,0
question:budget:budgetyear-keypersons-totalfundforattachedkeypersons::role:subaward_applicant_budget,question:budget:budgetyear-keypersons-totalfundforattachedkeypersons,subaward_applicant_budget,1,0,0
question:budget:budgetyear-otherdirectcosts-adpcomputerservices::role:applicant_budget,question:budget:budgetyear-otherdirectcosts-adpcomputerservices,applicant_budget,2,0,0
question:budget:budgetyear-otherdirectcosts-adpcomputerservices::role:multi_project_applicant_budget,question:budget:budgetyear-otherdirectcosts-adpcomputerservices,multi_project_applicant_budget,1,0,0
question:budget:budgetyear-otherdirectcosts-adpcomputerservices::role:subaward_applicant_budget,question:budget:budgetyear-otherdirectcosts-adpcomputerservices,subaward_applicant_budget,1,0,0
question:budget:budgetyear-otherdirectcosts-alterationsrenovations::role:applicant_budget,question:budget:budgetyear-otherdirectcosts-alterationsrenovations,applicant_budget,2,0,0
question:budget:budgetyear-otherdirectcosts-alterationsrenovations::role:multi_project_applicant_budget,question:budget:budgetyear-otherdirectcosts-alterationsrenovations,multi_project_applicant_budget,1,0,0
question:budget:budgetyear-otherdirectcosts-alterationsrenovations::role:subaward_applicant_budget,question:budget:budgetyear-otherdirectcosts-alterationsrenovations,subaward_applicant_budget,1,0,0
question:budget:budgetyear-otherdirectcosts-consultantservices::role:applicant_budget,question:budget:budgetyear-otherdirectcosts-consultantservices,applicant_budget,2,0,0
question:budget:budgetyear-otherdirectcosts-consultantservices::role:multi_project_applicant_budget,question:budget:budgetyear-otherdirectcosts-consultantservices,multi_project_applicant_budget,1,0,0
question:budget:budgetyear-otherdirectcosts-consultantservices::role:subaward_applicant_budget,question:budget:budgetyear-otherdirectcosts-consultantservices,subaward_applicant_budget,1,0,0
